Country,Feature,Importance,Std Dev,P-value,CI Lower (99%),CI Upper (99%)
India_Wealth_Inclusive,hv270WealthIndex,0.32234,0.006789,0,0.308361,0.336319
India_Wealth_Inclusive,hv024RegionDivision,0.0309,0.002793,8.00E-06,0.025149,0.036651
India_Wealth_Inclusive,hv025TypeOfResidence,0.00462,0.001511,0.001196,0.00151,0.00773
India_Wealth_Inclusive,HouseholdClusterElevation,0.0029,0.001446,0.005472,-7.70E-05,0.005877
India_Wealth_Inclusive,hv009FamilySize,0.00226,0.001671,0.019508,-0.001181,0.005701
India_Wealth_Inclusive,hv220AgeOfHead,0.00114,0.000974,0.029458,-0.000865,0.003145
India_Wealth_Inclusive,hv216HouseSize,0.00068,0.000526,0.022303,-0.000404,0.001764
India_Wealth_Inclusive,hv219SexOfHead,0.00042,0.000409,0.041555,-0.000421,0.001261
India_Wealth_Inclusive,hv115_01MaritalStatus,0.00032,0.000402,0.075036,-0.000509,0.001149
India_Wealth_Inclusive,hv106_01EducationOfHead,0.00018,0.000926,0.343076,-0.001726,0.002086
India_Wealth_Inclusive,hv247HasBankAccount,6.00E-05,0.000391,0.374434,-0.000745,0.000865
India_Wealth_Inclusive,v714CurrentlyWorking,0,0,0.5,0,0
India_Wealth_Inclusive,745aHouseOwnership,0,0,0.5,0,0
India_Wealth_Inclusive,hv014NoOfChildren,-2.00E-05,4.50E-05,0.81305,-0.000112,7.20E-05
India_Wealth_Inclusive,v717Occupation,-0.00018,0.00037,0.831005,-0.000942,0.000582
